X,Y,Z
3.76244311204,-6.33417633673,-0.189001267187
5.22614040472,4.40553222295,-0.188835357346
-2.43799060933,-5.48936615848,15.1397190594
-0.974293316843,5.25034240141,15.1398849697
-4.80656870444,0.303276973668,-0.188812270099
-8.1507117977,-1.06431200322,10.0302951858
10.9388615936,-0.0195219320546,4.92058851598
7.59471850028,-1.38711090927,15.139695972
-2.92598298555,-9.06909845389,4.92056400684
6.61887366405,-8.54683133542,10.0300354878
-3.83072386873,7.4629974005,4.92084821428
5.7141327816,7.98526451844,10.0303196947

I,J,CorT,Axial Force
4,9,0,-12476.7742407
0,11,0,-12476.7742407
1,5,0,-12476.7742373
2,6,0,-12476.7742381
3,8,0,-12476.7742416
7,10,0,-12476.7742419
0,4,1,5236.2077554
0,1,1,5236.20775505
1,4,1,5236.2077554
4,8,1,5236.20775637
0,6,1,5236.20775214
1,10,1,5236.20775562
0,9,1,5236.20775029
4,5,1,5236.20774766
1,11,1,5236.20775029
8,9,1,5236.20775303
5,8,1,5236.207751
6,9,1,5236.207751
5,10,1,5236.207751
6,11,1,5236.207751
10,11,1,5236.20775303
2,8,1,5236.20775163
6,7,1,5236.207749
3,10,1,5236.20775163
2,9,1,5236.20775645
3,5,1,5236.20775297
7,11,1,5236.2077572
2,7,1,5236.2077554
2,3,1,5236.20775505
3,7,1,5236.2077554
